ID,이름,과목,수강료,교재비,연락처,메모
1,이동현,고등수학,400000,45000,054-386-9830,고등수학반
2,김영길,초등수학,150000,15000,017-662-2961,초등수학반
3,최정훈,고등수학,400000,45000,031-924-2688,고등수학반
4,이상훈,중등수학,250000,32000,018-533-8663,
5,김우진,중등수학,250000,32000,018-856-5485,중등수학반
6,하예은,수리논술,500000,0,019-743-8745,수리논술반
7,안재호,중등심화,300000,35000,070-0259-5595,중등심화반
8,이준영,수리논술,500000,0,062-776-6545,
9,최상철,고등수학,400000,45000,043-255-3737,고등수학반
10,김수민,중등심화,300000,35000,044-826-5628,중등심화반
11,우영숙,수리논술,500000,0,042-262-6149,
12,이서윤,고등수학,400000,45000,062-564-7535,고등수학반
13,최정자,초등수학,150000,15000,042-999-7899,
14,구숙자,중등심화,300000,35000,031-106-7375,중등심화반
15,서병철,초등수학,150000,15000,061-620-7034,초등수학반
16,홍우진,중등수학,250000,32000,018-465-3879,중등수학반
17,김지혜,초등수학,150000,15000,016-282-8351,초등수학반
18,강도현,초등수학,150000,15000,02-0571-2841,초등수학반
19,서서윤,고등수학,400000,45000,061-762-9815,
20,박현숙,초등수학,150000,15000,051-195-0146,
21,권경수,초등수학,150000,15000,063-565-0902,
22,오준영,중등수학,250000,32000,011-771-8789,중등수학반
23,김지훈,수리논술,500000,0,061-824-3336,
24,허영희,중등심화,300000,35000,052-470-7009,중등심화반
25,권서현,고등수학,400000,45000,017-764-2814,고등수학반
26,이영자,초등수학,150000,15000,044-740-3638,초등수학반
27,권정순,고등수학,400000,45000,016-846-8145,고등수학반
28,김옥순,고등수학,400000,45000,011-849-0728,고등수학반
29,류진호,수리논술,500000,0,032-823-9109,
30,김상철,초등수학,150000,15000,032-890-2040,초등수학반
31,이도현,초등수학,150000,15000,051-272-6206,
32,김민재,중등심화,300000,35000,061-585-4222,
33,이명숙,중등심화,300000,35000,017-487-0361,
34,심미숙,초등수학,150000,15000,064-725-6402,초등수학반
35,박수빈,중등심화,300000,35000,053-740-6872,
36,이현지,고등수학,400000,45000,010-3751-8988,고등수학반
37,이지현,수리논술,500000,0,011-897-6768,
38,김숙자,초등수학,150000,15000,02-1556-2755,초등수학반
